MODEL,POINT,IID,STID,STSIZ,ROSIZ,NBO,DPY
Demo - Model 01,43,1011_03,HOME BASE,,,0.0058,4.58
Demo - Model 01,43,1011_03,MAIN DEPOT,,,0.0039,3.44
Demo - Model 01,43,1011_03,S_CARRIER,1,,0,5.98
Demo - Model 01,43,1011_03,S_CRUISER,,,0,0
Demo - Model 01,43,1011_03,S_DESTROYER_01,,,0,0
Demo - Model 01,43,1011_03,S_DESTROYER_02,,,0,0
Demo - Model 01,43,1011_03,S_FRIGATE_01,,,0,0
Demo - Model 01,43,1011_03,S_FRIGATE_02,,,0,0
Demo - Model 01,43,1011_03,S_SUPPLY_SHIP_01,,,0,0
Demo - Model 01,43,1011_03,S_SUPPLY_SHIP_02,,,0,0
Demo - Model 01,43,6033_04,HOME BASE,,,0,0
Demo - Model 01,43,6033_04,MAIN DEPOT,,,0,0
Demo - Model 01,43,6033_04,S_CARRIER,,,0,0
Demo - Model 01,43,6033_04,S_CRUISER,,,0,0
Demo - Model 01,43,6033_04,S_DESTROYER_01,,,0,0
Demo - Model 01,43,6033_04,S_DESTROYER_02,,,0,0
Demo - Model 01,43,6033_04,S_FRIGATE_01,,,0,0
Demo - Model 01,43,6033_04,S_FRIGATE_02,,,0,0
Demo - Model 01,43,6033_04,S_SUPPLY_SHIP_01,,,0,0
Demo - Model 01,43,6033_04,S_SUPPLY_SHIP_02,,,0,0
Demo - Model 01,43,40131_07,HOME BASE,,,0.0004,0.3
Demo - Model 01,43,40131_07,MAIN DEPOT,,,0.0003,0.22
Demo - Model 01,43,40131_07,S_CARRIER,,,0,0
Demo - Model 01,43,40131_07,S_CRUISER,,,0.0004,0.3
Demo - Model 01,43,40131_07,S_DESTROYER_01,,,0,0
Demo - Model 01,43,40131_07,S_DESTROYER_02,,,0,0
Demo - Model 01,43,40131_07,S_FRIGATE_01,,,0,0
Demo - Model 01,43,40131_07,S_FRIGATE_02,,,0,0
Demo - Model 01,43,40131_07,S_SUPPLY_SHIP_01,,,0,0
Demo - Model 01,43,40131_07,S_SUPPLY_SHIP_02,,,0,0
Demo - Model 01,43,40132_07,HOME BASE,,,0.0001,0.07
Demo - Model 01,43,40132_07,MAIN DEPOT,,,0.0001,0.05
Demo - Model 01,43,40132_07,S_CARRIER,,,0,0
Demo - Model 01,43,40132_07,S_CRUISER,,,0.0001,0.07
Demo - Model 01,43,40132_07,S_DESTROYER_01,,,0,0
Demo - Model 01,43,40132_07,S_DESTROYER_02,,,0,0
Demo - Model 01,43,40132_07,S_FRIGATE_01,,,0,0
Demo - Model 01,43,40132_07,S_FRIGATE_02,,,0,0
Demo - Model 01,43,40132_07,S_SUPPLY_SHIP_01,,,0,0
Demo - Model 01,43,40132_07,S_SUPPLY_SHIP_02,,,0,0
Demo - Model 01,43,40133_07,HOME BASE,,,0.0003,0.26
Demo - Model 01,43,40133_07,MAIN DEPOT,,,0.0002,0.2
Demo - Model 01,43,40133_07,S_CARRIER,,,0,0
Demo - Model 01,43,40133_07,S_CRUISER,,,0.0003,0.26
Demo - Model 01,43,40133_07,S_DESTROYER_01,,,0,0
Demo - Model 01,43,40133_07,S_DESTROYER_02,,,0,0
Demo - Model 01,43,40133_07,S_FRIGATE_01,,,0,0
Demo - Model 01,43,40133_07,S_FRIGATE_02,,,0,0
Demo - Model 01,43,40133_07,S_SUPPLY_SHIP_01,,,0,0
Demo - Model 01,43,40133_07,S_SUPPLY_SHIP_02,,,0,0
Demo - Model 01,43,40134_07,WORKSHOP,,1,0,0.09
Demo - Model 01,43,40134_07,HOME BASE,,,0.0006,0.09
Demo - Model 01,43,40134_07,MAIN DEPOT,,,0.0005,0.09
Demo - Model 01,43,40134_07,S_CRUISER,,,0.0006,0.09
Demo - Model 01,43,40135_07,HOME BASE,,,0.0002,0.19
Demo - Model 01,43,40135_07,MAIN DEPOT,,,0.0002,0.15
Demo - Model 01,43,40135_07,S_CARRIER,,,0,0
Demo - Model 01,43,40135_07,S_CRUISER,,,0.0002,0.19
Demo - Model 01,43,40135_07,S_DESTROYER_01,,,0,0
Demo - Model 01,43,40135_07,S_DESTROYER_02,,,0,0
Demo - Model 01,43,40135_07,S_FRIGATE_01,,,0,0
Demo - Model 01,43,40135_07,S_FRIGATE_02,,,0,0
Demo - Model 01,43,40135_07,S_SUPPLY_SHIP_01,,,0,0
Demo - Model 01,43,40135_07,S_SUPPLY_SHIP_02,,,0,0
Demo - Model 01,43,40136_07,HOME BASE,,,0,0.03
Demo - Model 01,43,40136_07,MAIN DEPOT,,,0,0.03
Demo - Model 01,43,40136_07,S_CARRIER,,,0,0
Demo - Model 01,43,40136_07,S_CRUISER,,,0,0.03
Demo - Model 01,43,40136_07,S_DESTROYER_01,,,0,0
Demo - Model 01,43,40136_07,S_DESTROYER_02,,,0,0
Demo - Model 01,43,40136_07,S_FRIGATE_01,,,0,0
Demo - Model 01,43,40136_07,S_FRIGATE_02,,,0,0
Demo - Model 01,43,40136_07,S_SUPPLY_SHIP_01,,,0,0
Demo - Model 01,43,40136_07,S_SUPPLY_SHIP_02,,,0,0
Demo - Model 01,43,40137_07,HOME BASE,,,0.0003,0.22
Demo - Model 01,43,40137_07,MAIN DEPOT,,,0.0002,0.17
Demo - Model 01,43,40137_07,S_CARRIER,,,0,0
Demo - Model 01,43,40137_07,S_CRUISER,,,0.0003,0.22
Demo - Model 01,43,40137_07,S_DESTROYER_01,,,0,0
Demo - Model 01,43,40137_07,S_DESTROYER_02,,,0,0
Demo - Model 01,43,40137_07,S_FRIGATE_01,,,0,0
Demo - Model 01,43,40137_07,S_FRIGATE_02,,,0,0
Demo - Model 01,43,40137_07,S_SUPPLY_SHIP_01,,,0,0
Demo - Model 01,43,40137_07,S_SUPPLY_SHIP_02,,,0,0
Demo - Model 01,43,40138_07,HOME BASE,,,0,0.03
Demo - Model 01,43,40138_07,MAIN DEPOT,,,0,0.03
Demo - Model 01,43,40138_07,S_CARRIER,,,0,0
Demo - Model 01,43,40138_07,S_CRUISER,,,0,0.03
Demo - Model 01,43,40138_07,S_DESTROYER_01,,,0,0
Demo - Model 01,43,40138_07,S_DESTROYER_02,,,0,0
Demo - Model 01,43,40138_07,S_FRIGATE_01,,,0,0
Demo - Model 01,43,40138_07,S_FRIGATE_02,,,0,0
Demo - Model 01,43,40138_07,S_SUPPLY_SHIP_01,,,0,0
Demo - Model 01,43,40138_07,S_SUPPLY_SHIP_02,,,0,0
Demo - Model 01,43,1011,HOME BASE,,,0,0
Demo - Model 01,43,1011,MAIN DEPOT,,,0,0
Demo - Model 01,43,1011,S_CARRIER,,,0,0
Demo - Model 01,43,1011,S_CRUISER,,,0.0014,1.4
Demo - Model 01,43,1011,S_DESTROYER_01,,,0.0014,1.4
Demo - Model 01,43,1011,S_DESTROYER_02,,,0.0014,1.4
Demo - Model 01,43,1011,S_FRIGATE_01,,,0.0014,1.4
Demo - Model 01,43,1011,S_FRIGATE_02,,,0.0014,1.4
Demo - Model 01,43,1011,S_SUPPLY_SHIP_01,,,0.0014,1.4
Demo - Model 01,43,1011,S_SUPPLY_SHIP_02,,,0.0014,1.4
Demo - Model 01,43,10111,WORKSHOP,,,0.0106,2.44
Demo - Model 01,43,10111,HOME BASE,2,,0,2.44
Demo - Model 01,43,10111,MAIN DEPOT,,,0.024,2.44
Demo - Model 01,43,10111,S_CARRIER,,,0,0.31
Demo - Model 01,43,10111,S_CRUISER,,,0,0.31
Demo - Model 01,43,10111,S_DESTROYER_01,,,0,0.31
Demo - Model 01,43,10111,S_DESTROYER_02,,,0,0.31
Demo - Model 01,43,10111,S_FRIGATE_01,,,0,0.31
Demo - Model 01,43,10111,S_FRIGATE_02,,,0,0.31
Demo - Model 01,43,10111,S_SUPPLY_SHIP_01,,,0,0.31
Demo - Model 01,43,10111,S_SUPPLY_SHIP_02,,,0,0.31
Demo - Model 01,43,10112,WORKSHOP,,,0.0012,0.29
Demo - Model 01,43,10112,HOME BASE,1,,0,0.29
Demo - Model 01,43,10112,MAIN DEPOT,,,0.0028,0.29
Demo - Model 01,43,10112,S_CARRIER,,,0,0.04
Demo - Model 01,43,10112,S_CRUISER,,,0,0.04
Demo - Model 01,43,10112,S_DESTROYER_01,,,0,0.04
Demo - Model 01,43,10112,S_DESTROYER_02,,,0,0.04
Demo - Model 01,43,10112,S_FRIGATE_01,,,0,0.04
Demo - Model 01,43,10112,S_FRIGATE_02,,,0,0.04
Demo - Model 01,43,10112,S_SUPPLY_SHIP_01,,,0,0.04
Demo - Model 01,43,10112,S_SUPPLY_SHIP_02,,,0,0.04
Demo - Model 01,43,10113,WORKSHOP,,,0.0094,2.16
Demo - Model 01,43,10113,HOME BASE,1,,0.0002,2.16
Demo - Model 01,43,10113,MAIN DEPOT,,,0.0212,2.16
Demo - Model 01,43,10113,S_CARRIER,,,0,0.27
Demo - Model 01,43,10113,S_CRUISER,,,0,0.27
Demo - Model 01,43,10113,S_DESTROYER_01,,,0,0.27
Demo - Model 01,43,10113,S_DESTROYER_02,,,0,0.27
Demo - Model 01,43,10113,S_FRIGATE_01,,,0,0.27
Demo - Model 01,43,10113,S_FRIGATE_02,,,0,0.27
Demo - Model 01,43,10113,S_SUPPLY_SHIP_01,,,0,0.27
Demo - Model 01,43,10113,S_SUPPLY_SHIP_02,,,0,0.27
Demo - Model 01,43,10114,WORKSHOP,,,0.0034,0.78
Demo - Model 01,43,10114,HOME BASE,1,,0,0.78
Demo - Model 01,43,10114,MAIN DEPOT,,,0.0076,0.78
Demo - Model 01,43,10114,S_CARRIER,,,0,0.1
Demo - Model 01,43,10114,S_CRUISER,,,0,0.1
Demo - Model 01,43,10114,S_DESTROYER_01,,,0,0.1
Demo - Model 01,43,10114,S_DESTROYER_02,,,0,0.1
Demo - Model 01,43,10114,S_FRIGATE_01,,,0,0.1
Demo - Model 01,43,10114,S_FRIGATE_02,,,0,0.1
Demo - Model 01,43,10114,S_SUPPLY_SHIP_01,,,0,0.1
Demo - Model 01,43,10114,S_SUPPLY_SHIP_02,,,0,0.1
Demo - Model 01,43,10115,WORKSHOP,,,0.0069,1.59
Demo - Model 01,43,10115,HOME BASE,1,,0.0001,1.59
Demo - Model 01,43,10115,MAIN DEPOT,,,0.0157,1.59
